Route Name;Ascent Label;Ascent Type;Route Grade;Ascent Grade;Route Gear Style;Ascent Gear Style;Route Height;Ascent Height;# Ascents;Route Stars;Route ID;Route Link;Country;Country Link;Crag Name;Crag Link;Crag Path;Quality;Ascent Date;Log Date;Shot
Piwo z rana jak śmietana;;Onsight;VI.1;;Sport;Sport;13m;;1;;3141733806;http://www.thecrag.com/route/3141733806;Poland;http://www.thecrag.com/area/11747659;Jura;http://www.thecrag.com/area/1443033972;Jura - Jura Północna - Skarżyce - Cydzownik;Good;16.04.2023 02:00;16.04.2023 21:58;
Trzy ruchy, worek suchy;;Onsight;VI.2+;;Sport;Sport;13m;;1;**;3141733479;http://www.thecrag.com/route/3141733479;Poland;http://www.thecrag.com/area/11747659;Jura;http://www.thecrag.com/area/1443033972;Jura - Jura Północna - Skarżyce - Cydzownik;Very Good;16.04.2023 02:00;16.04.2023 21:57;
Czarny okap;;Onsight;VI.1+;;Sport;Sport;13m;;1;**;3141732900;http://www.thecrag.com/route/3141732900;Poland;http://www.thecrag.com/area/11747659;Jura;http://www.thecrag.com/area/1443033972;Jura - Jura Północna - Skarżyce - Cydzownik;Very Good;16.04.2023 02:00;16.04.2023 21:57;
Ryska Profosa;;Flash;VI.1;;Sport;Sport;13m;;1;**;3141732096;http://www.thecrag.com/route/3141732096;Poland;http://www.thecrag.com/area/11747659;Jura;http://www.thecrag.com/area/1443033972;Jura - Jura Północna - Skarżyce - Cydzownik;Classic;16.04.2023 02:00;16.04.2023 21:57;
Ciccia baliccia;;Onsight;6b;;Sport;Sport;15m;;1;**;16094647;http://www.thecrag.com/route/16094647;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Valle di Rian Cornei - Falesia del silenzio - Silenzio Basso;Good;25.03.2023 01:00;10.04.2023 13:16;
Siddharta;;Pink point;7b;;Sport;Sport;15m;;1;***;16094407;http://www.thecrag.com/route/16094407;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Valle di Rian Cornei - Falesia del silenzio - Silenzio Basso;Very Good;25.03.2023 01:00;10.04.2023 13:16;
Golden Lady;;Onsight;6c;;Sport;Sport;20m;;1;***;16093975;http://www.thecrag.com/route/16093975;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Valle di Rian Cornei - Falesia del silenzio - Silenzio Basso;Good;25.03.2023 01:00;10.04.2023 13:14;
Fame d'Erba;;Onsight;5c;;Sport;Sport;15m;;1;*;16152385;http://www.thecrag.com/route/16152385;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Monte Cucco - Fenia o Anfiteatro;Good;23.03.2023 01:00;10.04.2023 13:29;
Cianbalaur;;Onsight;7a;;Sport;Sport;35m;;1;***;16151947;http://www.thecrag.com/route/16151947;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Monte Cucco - Fenia o Anfiteatro;Mega Classic;23.03.2023 01:00;10.04.2023 13:29;
Baci da Rio;;Onsight;7a;;Sport;Sport;27m;;1;***;16151755;http://www.thecrag.com/route/16151755;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Monte Cucco - Fenia o Anfiteatro;Classic;23.03.2023 01:00;10.04.2023 13:28;
Turbo Diesel;;Onsight;7a;;Sport;Sport;27m;;1;**;16151707;http://www.thecrag.com/route/16151707;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Monte Cucco - Fenia o Anfiteatro;Classic;23.03.2023 01:00;10.04.2023 13:28;
4 WD;;Onsight;7a;;Sport;Sport;32m;;1;***;16151611;http://www.thecrag.com/route/16151611;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Monte Cucco - Fenia o Anfiteatro;Classic;23.03.2023 01:00;10.04.2023 13:28;
Rank Xerox;;Flash;6c;;Sport;Sport;15m;;1;***;16099417;http://www.thecrag.com/route/16099417;Italy;http://www.thecrag.com/area/11747371;Finale Ligure;http://www.thecrag.com/area/11881249;Finale Ligure - Rocca Carpanea - Grotta dell'Edera;Mega Classic;22.03.2023 01:00;10.04.2023 13:26;
